POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.90,0.43,0.36,0.36,1.00,12.00,8.00,21.00,16.00						
2	,0.83,0.31,0.67,0.25,1.00,11.00,3.00,15.00,13.00						
3	,0.88,0.39,0.25,0.25,1.00,11.00,6.00,18.00,15.00						
4	,1.00,0.36,0.83,0.33,0.00,14.00,5.00,19.00,14.00						
5	,0.86,0.40,0.62,0.38,1.00,9.00,3.00,13.00,11.00						
6	,1.00,0.47,0.50,0.25,0.00,10.00,6.00,16.00,12.00						
7	,1.00,0.39,0.67,0.24,0.00,11.00,4.00,15.00,12.00						
8	,0.83,0.59,0.22,0.33,2.00,7.00,10.00,19.00,11.00						
9	,0.67,0.42,0.27,0.21,4.00,11.00,6.00,21.00,18.00						
10	,0.86,0.67,0.39,0.47,2.00,6.00,10.00,18.00,11.00						
avg	,0.88,0.44,0.48,0.31,1.20,10.20,6.10,17.50,13.30						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.57,1.00,0.00,0.00,12.00,0.00,15.00,27.00,12.00						
3	,0.64,1.00,0.00,0.00,10.00,0.00,12.00,22.00,10.00						
4	,0.79,1.00,0.00,0.00,6.00,0.00,15.00,21.00,6.00						
5	,0.54,1.00,0.00,0.00,13.00,0.00,13.00,26.00,13.00						
6	,0.68,1.00,0.00,0.00,9.00,0.00,12.00,21.00,9.00						
7	,0.64,1.00,0.00,0.00,10.00,0.00,17.00,27.00,10.00						
8	,0.61,1.00,0.00,0.00,11.00,0.00,12.00,23.00,11.00						
9	,0.68,1.00,0.00,0.00,9.00,0.00,18.00,27.00,9.00						
10	,0.64,1.00,0.00,0.00,10.00,0.00,15.00,25.00,10.00						
avg	,0.65,1.00,0.00,0.00,9.70,0.00,14.30,24.00,9.70						

