POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.38,0.44,0.20,0.00,16.00,6.00,22.00,17.00						
2	,1.00,0.33,0.00,0.00,0.00,18.00,8.00,26.00,21.00						
3	,1.00,0.28,0.20,0.10,0.00,18.00,7.00,25.00,20.00						
4	,1.00,0.50,0.29,0.20,0.00,13.00,11.00,24.00,16.00						
5	,0.92,0.41,0.17,0.19,1.00,16.00,11.00,28.00,19.00						
6	,1.00,0.29,0.00,0.00,0.00,20.00,6.00,26.00,20.00						
7	,0.89,0.64,0.05,0.05,2.00,9.00,15.00,26.00,20.00						
8	,1.00,0.32,0.00,0.00,0.00,19.00,8.00,27.00,19.00						
9	,1.00,0.30,0.11,0.14,0.00,19.00,8.00,27.00,20.00						
10	,1.00,0.25,0.00,0.00,0.00,21.00,6.00,27.00,21.00						
avg	,0.98,0.37,0.13,0.09,0.30,16.90,8.60,25.80,19.30						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
3	,0.89,1.00,0.00,0.00,3.00,0.00,20.00,23.00,3.00						
4	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
5	,0.96,1.00,0.00,0.00,1.00,0.00,16.00,17.00,1.00						
6	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
7	,0.89,1.00,0.00,0.00,3.00,0.00,19.00,22.00,3.00						
8	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
9	,0.96,1.00,0.00,0.00,1.00,0.00,7.00,8.00,1.00						
10	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
avg	,0.95,1.00,0.00,0.00,1.30,0.00,11.70,13.00,1.30						

