POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.23,0.00,0.00,0.00,20.00,5.00,25.00,21.00						
2	,1.00,0.29,0.00,0.00,0.00,20.00,4.00,24.00,20.00						
3	,1.00,0.24,0.29,0.11,0.00,19.00,5.00,24.00,20.00						
4	,1.00,0.22,0.20,0.07,0.00,21.00,4.00,25.00,22.00						
5	,1.00,0.22,0.17,0.08,0.00,21.00,5.00,26.00,21.00						
6	,1.00,0.22,0.00,0.00,0.00,21.00,2.00,23.00,21.00						
7	,1.00,0.18,0.00,0.00,0.00,23.00,4.00,27.00,23.00						
8	,1.00,0.26,0.43,0.43,0.00,20.00,6.00,26.00,20.00						
9	,1.00,0.23,0.43,0.20,0.00,20.00,5.00,25.00,20.00						
10	,1.00,0.28,0.18,0.33,0.00,18.00,6.00,24.00,18.00						
avg	,1.00,0.24,0.17,0.12,0.00,20.30,4.60,24.90,20.60						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
3	,0.89,1.00,0.00,0.00,3.00,0.00,19.00,22.00,3.00						
4	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
5	,0.96,1.00,0.00,0.00,1.00,0.00,12.00,13.00,1.00						
6	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
7	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
8	,0.96,1.00,0.00,0.00,1.00,0.00,7.00,8.00,1.00						
9	,0.93,1.00,0.00,0.00,2.00,0.00,15.00,17.00,2.00						
10	,0.89,1.00,0.00,0.00,3.00,0.00,6.00,9.00,3.00						
avg	,0.95,1.00,0.00,0.00,1.40,0.00,10.90,12.30,1.40						

