POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.23,0.00,0.00,0.00,20.00,6.00,26.00,23.00						
2	,1.00,0.29,0.00,0.00,0.00,20.00,7.00,27.00,20.00						
3	,1.00,0.20,0.00,0.00,0.00,20.00,4.00,24.00,21.00						
4	,1.00,0.19,0.00,0.00,0.00,21.00,4.00,25.00,23.00						
5	,1.00,0.18,0.00,0.00,0.00,23.00,2.00,25.00,23.00						
6	,1.00,0.15,0.33,0.07,0.00,23.00,2.00,25.00,24.00						
7	,1.00,0.27,0.44,0.19,0.00,19.00,5.00,24.00,21.00						
8	,1.00,0.25,0.00,0.00,0.00,21.00,7.00,28.00,21.00						
9	,1.00,0.21,0.00,0.00,0.00,22.00,2.00,24.00,22.00						
10	,1.00,0.23,0.00,0.00,0.00,20.00,5.00,25.00,20.00						
avg	,1.00,0.22,0.08,0.03,0.00,20.90,4.40,25.30,21.80						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.96,0.35,0.60,0.00,1.00,21.00,22.00,11.00						
2	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
3	,0.89,1.00,0.00,0.00,3.00,0.00,18.00,21.00,3.00						
4	,0.93,1.00,0.00,0.00,2.00,0.00,15.00,17.00,2.00						
5	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
6	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
7	,0.93,1.00,0.00,0.00,2.00,0.00,21.00,23.00,2.00						
8	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,0.93,1.00,0.00,0.00,2.00,0.00,17.00,19.00,2.00						
avg	,0.96,1.00,0.04,0.06,1.00,0.10,10.70,11.80,2.10						

