POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.24,0.20,0.07,0.00,16.00,5.00,21.00,18.00						
2	,1.00,0.38,0.50,0.12,0.00,10.00,4.00,14.00,11.00						
3	,1.00,0.33,0.00,0.00,0.00,12.00,4.00,16.00,12.00						
4	,1.00,0.37,0.86,0.38,0.00,12.00,2.00,14.00,13.00						
5	,1.00,0.17,0.00,0.00,0.00,19.00,0.00,19.00,19.00						
6	,1.00,0.35,1.00,0.27,0.00,11.00,4.00,15.00,11.00						
7	,1.00,0.33,0.00,0.00,0.00,10.00,3.00,13.00,10.00						
8	,1.00,0.22,0.00,0.00,0.00,14.00,3.00,17.00,14.00						
9	,1.00,0.23,0.50,0.08,0.00,17.00,4.00,21.00,17.00						
10	,1.00,0.47,0.33,0.07,0.00,9.00,4.00,13.00,10.00						
avg	,1.00,0.31,0.34,0.10,0.00,13.00,3.30,16.30,13.50						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.57,1.00,0.00,0.00,12.00,0.00,15.00,27.00,12.00						
3	,0.64,1.00,0.00,0.00,10.00,0.00,12.00,22.00,10.00						
4	,0.68,1.00,0.00,0.00,9.00,0.00,16.00,25.00,9.00						
5	,0.82,1.00,0.00,0.00,5.00,0.00,0.00,5.00,5.00						
6	,0.61,1.00,0.00,0.00,11.00,0.00,15.00,26.00,11.00						
7	,0.54,1.00,0.00,0.00,13.00,0.00,6.00,19.00,13.00						
8	,0.64,1.00,0.00,0.00,10.00,0.00,12.00,22.00,10.00						
9	,0.79,1.00,0.00,0.00,6.00,0.00,12.00,18.00,6.00						
10	,0.61,1.00,0.00,0.00,11.00,0.00,13.00,24.00,11.00						
avg	,0.66,1.00,0.00,0.00,9.40,0.00,11.50,20.90,9.40						

