POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.33,0.67,0.14,0.00,14.00,4.00,18.00,14.00						
2	,1.00,0.44,0.00,0.00,0.00,9.00,7.00,16.00,9.00						
3	,1.00,0.33,0.25,0.08,0.00,12.00,3.00,15.00,14.00						
4	,1.00,0.26,1.00,0.25,0.00,14.00,3.00,17.00,14.00						
5	,1.00,0.30,0.00,0.00,0.00,16.00,0.00,16.00,16.00						
6	,1.00,0.35,1.00,0.13,0.00,11.00,4.00,15.00,11.00						
7	,1.00,0.19,0.00,0.00,0.00,17.00,4.00,21.00,17.00						
8	,1.00,0.21,0.00,0.00,0.00,15.00,3.00,18.00,15.00						
9	,1.00,0.21,0.00,0.00,0.00,15.00,3.00,18.00,15.00						
10	,1.00,0.26,1.00,0.11,0.00,14.00,5.00,19.00,14.00						
avg	,1.00,0.29,0.39,0.07,0.00,13.70,3.60,17.30,13.90						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.57,1.00,0.00,0.00,12.00,0.00,15.00,27.00,12.00						
3	,0.64,1.00,0.00,0.00,10.00,0.00,12.00,22.00,10.00						
4	,0.68,1.00,0.00,0.00,9.00,0.00,16.00,25.00,9.00						
5	,0.82,1.00,0.00,0.00,5.00,0.00,0.00,5.00,5.00						
6	,0.61,1.00,0.00,0.00,11.00,0.00,15.00,26.00,11.00						
7	,0.75,1.00,0.00,0.00,7.00,0.00,12.00,19.00,7.00						
8	,0.68,1.00,0.00,0.00,9.00,0.00,18.00,27.00,9.00						
9	,0.68,1.00,0.00,0.00,9.00,0.00,18.00,27.00,9.00						
10	,0.67,0.95,0.67,0.56,9.00,1.00,9.00,19.00,10.00						
avg	,0.68,0.99,0.07,0.06,8.80,0.10,12.90,21.80,8.90						

