POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.00,0.00,0.00,0.00,0.00,26.00,0.00,26.00,26.00						
2	,0.00,0.00,0.00,0.00,0.00,26.00,0.00,26.00,26.00						
3	,0.00,0.00,0.00,0.00,0.00,27.00,0.00,27.00,27.00						
4	,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
5	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
6	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
7	,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
8	,0.00,0.00,0.00,0.00,0.00,27.00,0.00,27.00,27.00						
9	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
10	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
avg	,0.00,0.00,0.00,0.00,0.00,26.60,0.00,26.60,26.60						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.00,0.00,0.00,0.00,0.00,26.00,0.00,26.00,26.00						
2	,0.00,0.00,0.00,0.00,0.00,26.00,0.00,26.00,26.00						
3	,0.00,0.00,0.00,0.00,0.00,27.00,0.00,27.00,27.00						
4	,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
5	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
6	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
7	,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
8	,0.00,0.00,0.00,0.00,0.00,27.00,0.00,27.00,27.00						
9	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
10	,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,28.00						
avg	,0.00,0.00,0.00,0.00,0.00,26.60,0.00,26.60,26.60						

