POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.24,0.50,0.14,0.00,16.00,4.00,20.00,16.00						
2	,1.00,0.39,1.00,0.14,0.00,11.00,4.00,15.00,11.00						
3	,1.00,0.29,0.00,0.00,0.00,12.00,3.00,15.00,12.00						
4	,1.00,0.36,0.50,0.27,0.00,9.00,4.00,13.00,11.00						
5	,1.00,0.28,0.25,0.06,0.00,13.00,5.00,18.00,15.00						
6	,1.00,0.19,0.50,0.08,0.00,17.00,1.00,18.00,18.00						
7	,1.00,0.24,0.50,0.14,0.00,16.00,4.00,20.00,16.00						
8	,1.00,0.33,0.20,0.12,0.00,14.00,7.00,21.00,15.00						
9	,1.00,0.30,0.00,0.00,0.00,14.00,5.00,19.00,15.00						
10	,1.00,0.35,0.22,0.22,0.00,13.00,5.00,18.00,13.00						
avg	,1.00,0.30,0.37,0.12,0.00,13.50,4.20,17.70,14.20						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.64,1.00,0.00,0.00,10.00,0.00,14.00,24.00,10.00						
3	,0.61,1.00,0.00,0.00,11.00,0.00,14.00,25.00,11.00						
4	,0.50,1.00,0.00,0.00,14.00,0.00,11.00,25.00,14.00						
5	,0.64,1.00,0.00,0.00,10.00,0.00,16.00,26.00,10.00						
6	,0.75,1.00,0.00,0.00,7.00,0.00,12.00,19.00,7.00						
7	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
8	,0.75,1.00,0.00,0.00,7.00,0.00,17.00,24.00,7.00						
9	,0.71,1.00,0.00,0.00,8.00,0.00,15.00,23.00,8.00						
10	,0.71,1.00,0.00,0.00,8.00,0.00,9.00,17.00,8.00						
avg	,0.68,1.00,0.00,0.00,8.90,0.00,13.60,22.50,8.90						

