POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.38,0.50,0.36,0.00,13.00,5.00,18.00,14.00						
2	,1.00,0.50,0.60,0.43,0.00,9.00,5.00,14.00,9.00						
3	,1.00,0.41,0.40,0.14,0.00,10.00,6.00,16.00,11.00						
4	,1.00,0.50,0.56,0.45,0.00,7.00,6.00,13.00,10.00						
5	,1.00,0.39,0.43,0.18,0.00,11.00,4.00,15.00,13.00						
6	,1.00,0.33,0.14,0.07,0.00,12.00,6.00,18.00,15.00						
7	,1.00,0.29,0.50,0.15,0.00,12.00,2.00,14.00,13.00						
8	,1.00,0.33,0.00,0.00,0.00,14.00,4.00,18.00,15.00						
9	,1.00,0.27,0.00,0.00,0.00,16.00,5.00,21.00,16.00						
10	,1.00,0.38,0.50,0.18,0.00,10.00,3.00,13.00,10.00						
avg	,1.00,0.38,0.36,0.20,0.00,11.40,4.60,16.00,12.60						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.64,1.00,0.00,0.00,10.00,0.00,14.00,24.00,10.00						
3	,0.61,1.00,0.00,0.00,11.00,0.00,14.00,25.00,11.00						
4	,0.50,1.00,0.00,0.00,14.00,0.00,11.00,25.00,14.00						
5	,0.64,1.00,0.00,0.00,10.00,0.00,17.00,27.00,10.00						
6	,0.64,1.00,0.00,0.00,10.00,0.00,14.00,24.00,10.00						
7	,0.61,1.00,0.00,0.00,11.00,0.00,13.00,24.00,11.00						
8	,0.75,1.00,0.00,0.00,7.00,0.00,10.00,17.00,7.00						
9	,0.79,1.00,0.00,0.00,6.00,0.00,18.00,24.00,6.00						
10	,0.57,1.00,0.00,0.00,12.00,0.00,11.00,23.00,12.00						
avg	,0.65,1.00,0.00,0.00,9.80,0.00,13.60,23.40,9.80						

