POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.27,0.12,0.05,0.00,19.00,7.00,26.00,22.00						
2	,1.00,0.35,0.00,0.00,0.00,17.00,9.00,26.00,19.00						
3	,1.00,0.25,0.00,0.00,0.00,21.00,5.00,26.00,21.00						
4	,1.00,0.11,0.00,0.00,0.00,25.00,0.00,25.00,25.00						
5	,1.00,0.25,0.00,0.00,0.00,21.00,7.00,28.00,21.00						
6	,1.00,0.18,0.00,0.00,0.00,23.00,0.00,23.00,23.00						
7	,1.00,0.29,0.17,0.08,0.00,17.00,6.00,23.00,17.00						
8	,1.00,0.15,0.50,0.06,0.00,23.00,1.00,24.00,23.00						
9	,1.00,0.25,0.00,0.00,0.00,21.00,5.00,26.00,21.00						
10	,1.00,0.18,0.00,0.00,0.00,23.00,3.00,26.00,23.00						
avg	,1.00,0.23,0.08,0.02,0.00,21.00,4.30,25.30,21.50						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,0.93,1.00,0.00,0.00,2.00,0.00,15.00,17.00,2.00						
3	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
4	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
5	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
6	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
7	,0.86,1.00,0.00,0.00,4.00,0.00,12.00,16.00,4.00						
8	,0.96,1.00,0.00,0.00,1.00,0.00,16.00,17.00,1.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
avg	,0.97,1.00,0.00,0.00,0.90,0.00,6.30,7.20,0.90						

