POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.29,0.00,0.00,0.00,15.00,5.00,20.00,15.00						
2	,1.00,0.38,0.67,0.25,0.00,10.00,5.00,15.00,11.00						
3	,1.00,0.28,0.00,0.00,0.00,13.00,4.00,17.00,13.00						
4	,1.00,0.22,1.00,0.17,0.00,14.00,1.00,15.00,14.00						
5	,1.00,0.33,0.00,0.00,0.00,12.00,2.00,14.00,12.00						
6	,1.00,0.40,0.33,0.15,0.00,9.00,5.00,14.00,11.00						
7	,1.00,0.33,1.00,0.12,0.00,12.00,4.00,16.00,12.00						
8	,1.00,0.37,0.00,0.00,0.00,12.00,6.00,18.00,14.00						
9	,1.00,0.40,0.40,0.24,0.00,12.00,7.00,19.00,13.00						
10	,1.00,0.41,0.25,0.17,0.00,10.00,5.00,15.00,11.00						
avg	,1.00,0.34,0.36,0.11,0.00,11.90,4.40,16.30,12.60						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.57,1.00,0.00,0.00,12.00,0.00,15.00,27.00,12.00						
3	,0.62,0.89,0.33,0.56,10.00,2.00,11.00,23.00,15.00						
4	,0.64,1.00,0.00,0.00,10.00,0.00,12.00,22.00,10.00						
5	,0.64,1.00,0.00,0.00,10.00,0.00,10.00,20.00,10.00						
6	,0.54,1.00,0.00,0.00,13.00,0.00,13.00,26.00,13.00						
7	,0.64,1.00,0.00,0.00,10.00,0.00,17.00,27.00,10.00						
8	,0.68,1.00,0.00,0.00,9.00,0.00,15.00,24.00,9.00						
9	,0.71,1.00,0.00,0.00,8.00,0.00,17.00,25.00,8.00						
10	,0.61,1.00,0.00,0.00,11.00,0.00,12.00,23.00,11.00						
avg	,0.64,0.99,0.03,0.06,10.00,0.20,13.60,23.80,10.50						

