POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.19,1.00,0.14,0.00,17.00,3.00,20.00,17.00						
2	,1.00,0.38,0.80,0.25,0.00,10.00,3.00,13.00,10.00						
3	,1.00,0.29,0.00,0.00,0.00,15.00,6.00,21.00,15.00						
4	,1.00,0.29,0.67,0.25,0.00,12.00,4.00,16.00,13.00						
5	,1.00,0.31,0.00,0.00,0.00,11.00,4.00,15.00,11.00						
6	,1.00,0.38,0.75,0.27,0.00,8.00,2.00,10.00,9.00						
7	,1.00,0.25,0.60,0.15,0.00,18.00,4.00,22.00,19.00						
8	,1.00,0.30,0.67,0.11,0.00,14.00,2.00,16.00,15.00						
9	,1.00,0.35,0.00,0.00,0.00,11.00,6.00,17.00,12.00						
10	,1.00,0.14,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
avg	,1.00,0.29,0.45,0.12,0.00,14.00,3.40,17.40,14.50						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.57,1.00,0.00,0.00,12.00,0.00,15.00,27.00,12.00						
3	,0.75,1.00,0.00,0.00,7.00,0.00,21.00,28.00,7.00						
4	,0.61,1.00,0.00,0.00,11.00,0.00,16.00,27.00,11.00						
5	,0.57,1.00,0.00,0.00,12.00,0.00,12.00,24.00,12.00						
6	,0.46,1.00,0.00,0.00,15.00,0.00,11.00,26.00,15.00						
7	,0.86,1.00,0.00,0.00,4.00,0.00,20.00,24.00,4.00						
8	,0.71,1.00,0.00,0.00,8.00,0.00,18.00,26.00,8.00						
9	,0.61,1.00,0.00,0.00,11.00,0.00,10.00,21.00,11.00						
10	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
avg	,0.69,1.00,0.00,0.00,8.70,0.00,13.70,22.40,8.70						

