POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.31,0.30,0.15,0.00,18.00,8.00,26.00,19.00						
2	,1.00,0.25,0.00,0.00,0.00,21.00,5.00,26.00,21.00						
3	,1.00,0.18,0.00,0.00,0.00,23.00,4.00,27.00,23.00						
4	,1.00,0.25,0.00,0.00,0.00,21.00,6.00,27.00,21.00						
5	,1.00,0.19,0.00,0.00,0.00,22.00,4.00,26.00,22.00						
6	,1.00,0.27,0.62,0.25,0.00,19.00,4.00,23.00,20.00						
7	,1.00,0.40,0.45,0.24,0.00,15.00,9.00,24.00,17.00						
8	,1.00,0.25,0.00,0.00,0.00,21.00,7.00,28.00,21.00						
9	,1.00,0.22,0.20,0.07,0.00,21.00,5.00,26.00,21.00						
10	,1.00,0.25,0.00,0.00,0.00,21.00,7.00,28.00,21.00						
avg	,1.00,0.26,0.16,0.07,0.00,20.20,5.90,26.10,20.60						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,1.00,0.96,0.00,0.00,0.00,1.00,16.00,17.00,1.00						
3	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
4	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
5	,0.96,1.00,0.00,0.00,1.00,0.00,7.00,8.00,1.00						
6	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
7	,0.89,1.00,0.00,0.00,3.00,0.00,21.00,24.00,3.00						
8	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
9	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
10	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
avg	,0.97,1.00,0.00,0.00,0.90,0.10,9.90,10.90,1.00						

