POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.33,0.33,0.14,0.00,14.00,6.00,20.00,15.00						
2	,1.00,0.56,0.50,0.57,0.00,8.00,9.00,17.00,8.00						
3	,1.00,0.24,0.25,0.07,0.00,13.00,3.00,16.00,15.00						
4	,1.00,0.36,1.00,0.18,0.00,9.00,4.00,13.00,9.00						
5	,1.00,0.28,1.00,0.12,0.00,13.00,3.00,16.00,13.00						
6	,1.00,0.28,0.00,0.00,0.00,13.00,3.00,16.00,14.00						
7	,1.00,0.35,0.40,0.15,0.00,11.00,5.00,16.00,12.00						
8	,1.00,0.29,0.00,0.00,0.00,15.00,5.00,20.00,16.00						
9	,1.00,0.23,0.40,0.11,0.00,17.00,4.00,21.00,18.00						
10	,1.00,0.25,0.00,0.00,0.00,12.00,2.00,14.00,12.00						
avg	,1.00,0.32,0.39,0.14,0.00,12.50,4.40,16.90,13.20						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.78,1.00,0.50,0.43,6.00,0.00,12.00,18.00,6.00						
2	,0.64,1.00,0.00,0.00,10.00,0.00,14.00,24.00,10.00						
3	,0.61,1.00,0.00,0.00,11.00,0.00,14.00,25.00,11.00						
4	,0.50,1.00,0.00,0.00,14.00,0.00,11.00,25.00,14.00						
5	,0.64,1.00,0.00,0.00,10.00,0.00,17.00,27.00,10.00						
6	,0.64,1.00,0.00,0.00,10.00,0.00,14.00,24.00,10.00						
7	,0.61,1.00,0.00,0.00,11.00,0.00,13.00,24.00,11.00						
8	,0.75,1.00,0.00,0.00,7.00,0.00,10.00,17.00,7.00						
9	,0.79,0.86,0.31,0.50,5.00,3.00,18.00,26.00,13.00						
10	,0.57,1.00,0.00,0.00,12.00,0.00,11.00,23.00,12.00						
avg	,0.65,0.99,0.08,0.09,9.60,0.30,13.40,23.30,10.40						

