POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.24,0.25,0.07,0.00,16.00,3.00,19.00,18.00						
2	,1.00,0.44,0.00,0.00,0.00,9.00,7.00,16.00,13.00						
3	,1.00,0.29,0.00,0.00,0.00,12.00,3.00,15.00,12.00						
4	,1.00,0.33,0.20,0.17,0.00,14.00,7.00,21.00,15.00						
5	,1.00,0.24,0.17,0.04,0.00,19.00,5.00,24.00,19.00						
6	,1.00,0.20,0.50,0.06,0.00,16.00,2.00,18.00,16.00						
7	,1.00,0.19,0.00,0.00,0.00,17.00,4.00,21.00,18.00						
8	,1.00,0.21,0.00,0.00,0.00,19.00,4.00,23.00,19.00						
9	,1.00,0.35,0.56,0.24,0.00,13.00,7.00,20.00,15.00						
10	,1.00,0.47,0.36,0.31,0.00,8.00,7.00,15.00,10.00						
avg	,1.00,0.30,0.20,0.09,0.00,14.30,4.90,19.20,15.50						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.73,0.90,0.22,0.43,7.00,2.00,15.00,24.00,14.00						
2	,0.59,1.00,0.20,0.19,11.00,0.00,15.00,26.00,15.00						
3	,0.65,1.00,0.38,0.64,9.00,0.00,9.00,18.00,11.00						
4	,0.75,1.00,0.00,0.00,7.00,0.00,12.00,19.00,7.00						
5	,0.89,1.00,0.00,0.00,3.00,0.00,21.00,24.00,3.00						
6	,0.71,1.00,0.00,0.00,8.00,0.00,18.00,26.00,8.00						
7	,0.80,0.95,0.41,0.86,5.00,1.00,14.00,20.00,7.00						
8	,0.86,1.00,0.00,0.00,4.00,0.00,0.00,4.00,4.00						
9	,0.77,1.00,0.57,0.76,6.00,0.00,14.00,20.00,8.00						
10	,0.54,1.00,0.00,0.00,13.00,0.00,13.00,26.00,13.00						
avg	,0.73,0.99,0.18,0.29,7.30,0.30,13.10,20.70,9.00						

