POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.27,0.00,0.00,0.00,19.00,4.00,23.00,19.00						
2	,1.00,0.15,0.00,0.00,0.00,23.00,2.00,25.00,23.00						
3	,1.00,0.22,0.00,0.00,0.00,21.00,6.00,27.00,21.00						
4	,1.00,0.24,0.00,0.00,0.00,19.00,6.00,25.00,20.00						
5	,1.00,0.22,0.00,0.00,0.00,21.00,6.00,27.00,22.00						
6	,1.00,0.21,0.00,0.00,0.00,22.00,2.00,24.00,22.00						
7	,1.00,0.21,0.00,0.00,0.00,22.00,5.00,27.00,22.00						
8	,1.00,0.18,0.00,0.00,0.00,23.00,4.00,27.00,23.00						
9	,1.00,0.14,0.00,0.00,0.00,24.00,3.00,27.00,24.00						
10	,1.00,0.23,0.00,0.00,0.00,20.00,5.00,25.00,20.00						
avg	,1.00,0.21,0.00,0.00,0.00,21.40,4.30,25.70,21.60						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.96,1.00,0.00,0.00,1.00,0.00,20.00,21.00,1.00						
2	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
3	,0.96,0.96,0.00,0.00,1.00,1.00,6.00,8.00,2.00						
4	,0.89,1.00,0.00,0.00,3.00,0.00,16.00,19.00,3.00						
5	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
6	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
7	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
8	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,0.93,1.00,0.00,0.00,2.00,0.00,0.00,2.00,2.00						
avg	,0.97,1.00,0.00,0.00,0.90,0.10,7.20,8.20,1.00						

