POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.23,0.00,0.00,0.00,20.00,3.00,23.00,20.00						
2	,1.00,0.24,0.00,0.00,0.00,19.00,4.00,23.00,19.00						
3	,1.00,0.18,0.00,0.00,0.00,23.00,3.00,26.00,23.00						
4	,1.00,0.21,0.00,0.00,0.00,22.00,4.00,26.00,22.00						
5	,1.00,0.15,0.00,0.00,0.00,22.00,2.00,24.00,22.00						
6	,1.00,0.21,0.00,0.00,0.00,22.00,0.00,22.00,22.00						
7	,1.00,0.29,0.00,0.00,0.00,20.00,8.00,28.00,20.00						
8	,1.00,0.21,0.00,0.00,0.00,22.00,0.00,22.00,22.00						
9	,1.00,0.18,0.00,0.00,0.00,23.00,0.00,23.00,23.00						
10	,1.00,0.26,0.50,0.06,0.00,20.00,3.00,23.00,20.00						
avg	,1.00,0.22,0.05,0.01,0.00,21.30,2.70,24.00,21.30						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,0.89,1.00,0.00,0.00,3.00,0.00,18.00,21.00,3.00						
3	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
4	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
5	,0.93,1.00,0.00,0.00,2.00,0.00,19.00,21.00,2.00						
6	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
7	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
8	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,0.96,1.00,0.00,0.00,1.00,0.00,16.00,17.00,1.00						
avg	,0.97,1.00,0.00,0.00,0.80,0.00,7.30,8.10,0.80						

