POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.27,0.38,0.15,0.00,19.00,5.00,24.00,22.00						
2	,1.00,0.26,0.33,0.13,0.00,20.00,5.00,25.00,21.00						
3	,1.00,0.22,0.20,0.07,0.00,21.00,4.00,25.00,22.00						
4	,1.00,0.14,0.00,0.00,0.00,24.00,2.00,26.00,24.00						
5	,1.00,0.27,0.45,0.23,0.00,19.00,7.00,26.00,20.00						
6	,1.00,0.22,0.50,0.08,0.00,21.00,3.00,24.00,21.00						
7	,1.00,0.15,0.00,0.00,0.00,22.00,4.00,26.00,26.00						
8	,1.00,0.44,0.07,0.06,0.00,14.00,10.00,24.00,16.00						
9	,1.00,0.25,0.00,0.00,0.00,21.00,4.00,25.00,21.00						
10	,1.00,0.21,0.00,0.00,0.00,22.00,2.00,24.00,22.00						
avg	,1.00,0.24,0.19,0.07,0.00,20.30,4.60,24.90,21.50						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
3	,0.96,1.00,0.00,0.00,1.00,0.00,15.00,16.00,1.00						
4	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
5	,0.93,1.00,0.00,0.00,2.00,0.00,22.00,24.00,2.00						
6	,0.96,1.00,0.00,0.00,1.00,0.00,12.00,13.00,1.00						
7	,0.93,1.00,0.00,0.00,2.00,0.00,15.00,17.00,2.00						
8	,0.89,1.00,0.00,0.00,3.00,0.00,17.00,20.00,3.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
avg	,0.96,1.00,0.00,0.00,1.20,0.00,11.60,12.80,1.20						

