POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,21.00						
2	,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,16.00						
3	,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,21.00						
4	,0.00,0.00,0.00,0.00,0.00,22.00,0.00,22.00,22.00						
5	,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,16.00						
6	,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,17.00						
7	,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,16.00						
8	,0.00,0.00,0.00,0.00,0.00,19.00,0.00,19.00,19.00						
9	,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00						
10	,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00						
avg	,0.00,0.00,0.00,0.00,0.00,18.80,0.00,18.80,18.80						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,21.00						
2	,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,16.00						
3	,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,21.00						
4	,0.00,0.00,0.00,0.00,0.00,22.00,0.00,22.00,22.00						
5	,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,16.00						
6	,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,17.00						
7	,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,16.00						
8	,0.00,0.00,0.00,0.00,0.00,19.00,0.00,19.00,19.00						
9	,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00						
10	,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00						
avg	,0.00,0.00,0.00,0.00,0.00,18.80,0.00,18.80,18.80						

