POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.23,0.17,0.05,0.00,20.00,6.00,26.00,21.00						
2	,1.00,0.19,0.00,0.00,0.00,21.00,3.00,24.00,23.00						
3	,1.00,0.25,0.00,0.00,0.00,18.00,3.00,21.00,18.00						
4	,1.00,0.32,0.00,0.00,0.00,15.00,5.00,20.00,16.00						
5	,1.00,0.14,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
6	,1.00,0.14,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
7	,1.00,0.29,0.00,0.00,0.00,20.00,8.00,28.00,20.00						
8	,1.00,0.14,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
9	,1.00,0.32,0.00,0.00,0.00,19.00,8.00,27.00,19.00						
10	,1.00,0.25,0.00,0.00,0.00,21.00,6.00,27.00,21.00						
avg	,1.00,0.23,0.02,0.01,0.00,20.60,3.90,24.50,21.00						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,0.93,1.00,0.00,0.00,2.00,0.00,15.00,17.00,2.00						
3	,0.86,1.00,0.00,0.00,4.00,0.00,15.00,19.00,4.00						
4	,0.79,1.00,0.00,0.00,6.00,0.00,16.00,22.00,6.00						
5	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
6	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
7	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
8	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
avg	,0.95,1.00,0.00,0.00,1.40,0.00,6.60,8.00,1.40						

