POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.23,0.00,0.00,0.00,20.00,5.00,25.00,22.00						
2	,1.00,0.25,0.00,0.00,0.00,21.00,2.00,23.00,21.00						
3	,1.00,0.14,0.00,0.00,0.00,24.00,3.00,27.00,24.00						
4	,1.00,0.32,0.11,0.06,0.00,17.00,8.00,25.00,18.00						
5	,1.00,0.25,0.00,0.00,0.00,21.00,5.00,26.00,21.00						
6	,1.00,0.14,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
7	,1.00,0.19,0.00,0.00,0.00,21.00,0.00,21.00,21.00						
8	,1.00,0.32,0.00,0.00,0.00,19.00,8.00,27.00,19.00						
9	,1.00,0.21,0.00,0.00,0.00,22.00,5.00,27.00,22.00						
10	,1.00,0.29,0.27,0.19,0.00,17.00,7.00,24.00,19.00						
avg	,1.00,0.24,0.04,0.02,0.00,20.60,4.30,24.90,21.10						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
2	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
3	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
4	,0.89,1.00,0.00,0.00,3.00,0.00,18.00,21.00,3.00						
5	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
6	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
7	,0.93,1.00,0.00,0.00,2.00,0.00,7.00,9.00,2.00						
8	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,0.86,1.00,0.00,0.00,4.00,0.00,16.00,20.00,4.00						
avg	,0.96,1.00,0.00,0.00,1.10,0.00,6.10,7.20,1.10						

