CSI	, adj_P_IS, adj_P_NS, adj_P, adj_R_IS, adj_R_NS, adj_R, arr_P_IS, arr_P_NS, arr_P, arr_R_IS, arr_R_NS, arr_R, added_IS, added_NS, added, removed_IS, removed_NS, removed, reoriented_IS, reoriented_NS, reoriented, shd_strict, shd_lenient, avgCSI, ll, llr						
1	,0.67,0.00,0.60,0.75,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,4.00,2.00,0.00,2.00,6.00,0.00,6.00,12.00,7.00,0.50,-1835.82,2180.53						
2	,0.00,0.71,0.62,0.00,0.50,0.45,0.00,0.12,0.11,0.00,0.17,0.17,1.00,2.00,3.00,1.00,5.00,6.00,0.00,4.00,4.00,13.00,11.00,0.10,-2501.61,3089.48						
3	,0.33,0.75,0.64,0.33,0.60,0.54,0.00,0.42,0.42,0.00,0.50,0.50,2.00,2.00,4.00,2.00,4.00,6.00,1.00,5.00,6.00,16.00,10.00,0.30,-1890.37,127.91						
4	,1.00,0.00,1.00,0.43,0.00,0.33,1.00,0.00,1.00,0.50,0.00,0.25,0.00,0.00,0.00,4.00,2.00,6.00,2.00,0.00,2.00,8.00,6.00,0.50,-571.08,1735.10						
5	,1.00,0.89,0.90,1.00,0.42,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,11.00,11.00,1.00,5.00,6.00,18.00,12.00,0.10,-5527.20,4015.41						
6	,0.50,1.00,0.75,0.50,0.55,0.53,0.00,0.50,0.50,0.00,0.27,0.27,3.00,0.00,3.00,3.00,5.00,8.00,2.00,5.00,7.00,18.00,12.00,0.20,-2094.55,294.78						
7	,0.50,1.00,0.70,0.60,0.50,0.54,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,2.00,4.00,6.00,0.00,1.00,1.00,10.00,9.00,0.30,-2951.85,2477.04						
8	,0.67,0.67,0.67,0.80,1.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00,1.00,0.00,1.00,1.00,0.00,1.00,5.00,4.00,0.40,-2538.93,3292.25						
9	,1.00,0.75,0.86,0.60,0.38,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,5.00,7.00,3.00,3.00,6.00,14.00,11.00,0.20,-2936.61,2061.13						
10	,1.00,1.00,1.00,0.71,0.30,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,7.00,9.00,2.00,1.00,3.00,12.00,9.00,0.30,-9294.93,4013.24						
avg	,0.67,0.68,0.77,0.57,0.42,0.54,0.10,0.10,0.20,0.05,0.09,0.12,1.40,0.80,2.20,1.90,4.30,6.20,1.80,2.40,4.20,12.60,9.10,0.29,-3214.30,401.32						

POP	, adj_P_IS, adj_P_NS, adj_P, adj_R_IS, adj_R_NS, adj_R, arr_P_IS, arr_P_NS, arr_P, arr_R_IS, arr_R_NS, arr_R, added_IS, added_NS, added, removed_IS, removed_NS, removed, reoriented_IS, reoriented_NS, reoriented, shd_strict, shd_lenient, avgCSI, ll, llr						
1	,0.33,0.00,0.31,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,2.00,18.00,0.00,0.00,0.00,8.00,0.00,8.00,26.00,20.00,0.50,-4016.35,2180.53						
2	,0.14,0.48,0.39,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,11.00,17.00,0.00,0.00,0.00,0.00,6.00,6.00,23.00,17.00,0.10,-5591.10,3089.48						
3	,0.43,0.48,0.46,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,11.00,15.00,0.00,0.00,0.00,2.00,8.00,10.00,25.00,15.00,0.30,-2018.29,127.91						
4	,0.39,0.67,0.43,1.00,1.00,1.00,0.19,0.19,0.19,0.75,0.75,0.75,11.00,1.00,12.00,0.00,0.00,0.00,5.00,2.00,7.00,19.00,14.00,0.50,-2306.18,1735.10						
5	,0.14,0.90,0.71,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2.00,8.00,0.00,0.00,0.00,1.00,12.00,13.00,21.00,8.00,0.10,-9542.61,4015.41						
6	,0.46,0.73,0.61,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,4.00,11.00,0.00,0.00,0.00,4.00,9.00,13.00,24.00,11.00,0.20,-2389.34,294.78						
7	,0.28,0.80,0.46,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,2.00,15.00,0.00,0.00,0.00,2.00,4.00,6.00,21.00,15.00,0.30,-5428.88,2477.04						
8	,0.23,0.33,0.25,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,4.00,21.00,0.00,0.00,0.00,2.00,0.00,2.00,23.00,21.00,0.40,-5831.19,3292.25						
9	,0.42,0.57,0.50,1.00,1.00,1.00,0.00,0.06,0.04,0.00,0.10,0.10,7.00,6.00,13.00,0.00,0.00,0.00,5.00,7.00,12.00,25.00,18.00,0.20,-4997.73,2061.13						
10	,0.54,0.67,0.61,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,5.00,11.00,0.00,0.00,0.00,3.00,7.00,10.00,21.00,11.00,0.30,-13308.17,4013.24						
avg	,0.34,0.56,0.47,1.00,0.90,1.00,0.02,0.03,0.02,0.07,0.08,0.08,9.30,4.80,14.10,0.00,0.00,0.00,3.20,5.50,8.70,22.80,15.00,0.29,-5542.98,401.32						

