CSI	, adj_P_IS, adj_P_NS, adj_P, adj_R_IS, adj_R_NS, adj_R, arr_P_IS, arr_P_NS, arr_P, arr_R_IS, arr_R_NS, arr_R, added_IS, added_NS, added, removed_IS, removed_NS, removed, reoriented_IS, reoriented_NS, reoriented, shd_strict, shd_lenient, avgCSI, ll, llr						
1	,0.67,1.00,0.80,0.20,0.15,0.17,0.00,0.33,0.33,0.00,0.06,0.06,1.00,0.00,1.00,8.00,11.00,19.00,0.00,2.00,2.00,22.00,21.00,0.40,-7631.75,-5525.36						
2	,0.75,1.00,0.91,0.30,0.70,0.50,0.00,0.18,0.15,0.00,0.29,0.29,1.00,0.00,1.00,7.00,3.00,10.00,3.00,7.00,10.00,21.00,11.00,0.30,-2088.19,1183.82						
3	,0.44,0.00,0.44,0.57,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,3.00,2.00,5.00,2.00,0.00,2.00,12.00,10.00,0.70,-6068.52,762.13						
4	,0.00,0.88,0.88,0.00,0.39,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,11.00,14.00,0.00,6.00,6.00,21.00,15.00,0.20,-2067.72,-259.94						
5	,0.57,1.00,0.73,0.67,0.33,0.44,0.00,0.10,0.08,0.00,0.08,0.08,3.00,0.00,3.00,2.00,8.00,10.00,4.00,4.00,8.00,21.00,16.00,0.30,-7843.24,1251.33						
6	,0.50,1.00,0.71,0.50,0.25,0.31,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,9.00,11.00,0.00,3.00,3.00,16.00,13.00,0.30,-2411.40,2167.01						
7	,0.50,1.00,0.90,0.20,0.38,0.35,0.00,1.00,1.00,0.00,0.14,0.14,1.00,0.00,1.00,4.00,13.00,17.00,0.00,3.00,3.00,21.00,18.00,0.30,-9347.69,-87.85						
8	,1.00,1.00,1.00,0.46,0.33,0.44,0.00,1.00,0.33,0.00,0.20,0.17,0.00,0.00,0.00,7.00,2.00,9.00,4.00,0.00,4.00,13.00,10.00,0.50,-1384.07,964.53						
9	,0.57,1.00,0.67,0.36,0.33,0.35,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,7.00,4.00,11.00,3.00,2.00,5.00,19.00,14.00,0.40,-4206.19,2151.50						
10	,0.38,1.00,0.62,0.50,0.50,0.50,0.17,0.20,0.19,1.00,0.20,0.27,5.00,0.00,5.00,3.00,5.00,8.00,2.00,5.00,7.00,20.00,15.00,0.40,-2317.16,2245.61						
avg	,0.54,0.89,0.77,0.38,0.34,0.38,0.02,0.28,0.21,0.10,0.10,0.10,2.10,0.10,2.20,4.60,6.80,11.40,1.80,3.20,5.00,18.60,14.30,0.38,-4536.59,224.56						

POP	, adj_P_IS, adj_P_NS, adj_P, adj_R_IS, adj_R_NS, adj_R, arr_P_IS, arr_P_NS, arr_P, arr_R_IS, arr_R_NS, arr_R, added_IS, added_NS, added, removed_IS, removed_NS, removed, reoriented_IS, reoriented_NS, reoriented, shd_strict, shd_lenient, avgCSI, ll, llr						
1	,0.83,1.00,0.92,1.00,1.00,1.00,0.00,0.36,0.29,0.00,0.50,0.50,2.00,0.00,2.00,0.00,0.00,0.00,9.00,12.00,21.00,23.00,8.00,0.40,-2106.39,-5525.36						
2	,0.56,1.00,0.71,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,3.00,4.00,7.00,15.00,8.00,0.30,-3272.01,1183.82						
3	,0.28,0.67,0.32,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,1.00,19.00,0.00,0.00,0.00,1.00,2.00,3.00,22.00,19.00,0.70,-6830.65,762.13						
4	,0.43,0.86,0.75,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,7.00,0.00,0.00,0.00,3.00,16.00,19.00,26.00,7.00,0.20,-1807.78,-259.94						
5	,0.46,0.80,0.64,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,3.00,10.00,0.00,0.00,0.00,4.00,9.00,13.00,23.00,10.00,0.30,-9094.56,1251.33						
6	,0.31,0.80,0.57,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,12.00,0.00,0.00,0.00,2.00,10.00,12.00,24.00,12.00,0.30,-4578.41,2167.01						
7	,0.71,1.00,0.93,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,3.00,11.00,14.00,16.00,2.00,0.30,-9259.84,-87.85						
8	,0.52,1.00,0.57,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,9.00,3.00,12.00,24.00,12.00,0.50,-2348.60,964.53						
9	,0.50,1.00,0.61,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,11.00,0.40,-6357.68,2151.50						
10	,0.33,1.00,0.57,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,4.00,7.00,11.00,23.00,12.00,0.40,-4562.77,2245.61						
avg	,0.49,0.91,0.66,1.00,1.00,1.00,0.00,0.04,0.03,0.00,0.05,0.05,8.50,1.00,9.50,0.00,0.00,0.00,3.80,7.40,11.20,20.70,10.10,0.38,-5021.87,224.56						

